ChatID	Autor	Phrase	Timestamp
14227695	Оператор	Мы получили ваше сообщение. Эксперт ответит вам в этом чате с 9 до 18 часов (мск) в рабочие дни.	2025-03-10 03:09:13.057000+03:00
14227708	Оператор	Мы получили ваше сообщение. Эксперт ответит вам в этом чате с 9 до 18 часов (мск) в рабочие дни.	2025-03-10 03:09:11.982000+03:00
14227713	Оператор	Мы получили ваше сообщение. Эксперт ответит вам в этом чате с 9 до 18 часов (мск) в рабочие дни.	2025-03-10 03:09:11.475000+03:00
14228218	Оператор	Мы получили ваше сообщение. Эксперт ответит вам в этом чате с 9 до 18 часов (мск) в рабочие дни.	2025-03-10 03:09:37.416000+03:00
14232839	Оператор	"Ваш вопрос оформлен под №[4565239]. Ответ на него будет готов в течение 24-х часов и вы можете посмотреть его на вкладке Письменно. Подробнее ознакомиться с правилами подготовки и получения ответов экспертов, Вы можете на нашем  ""/#/hotline/rules/"">сайте ."	2025-03-10 13:27:21.420000+03:00
14232922	Пользователь	nan	2025-03-10 05:18:32.867000+03:00
14233280	Оператор	Светлана Сергеевна, так и указываете на какие цели конкретно выделяется пожертвования, особенностей нет.   см. Договор пожертвования денежных средств. Жертвователь и одаряемый – юридические лица   договор благотворительного пожертвования денежных средств. Благотворитель – физическое лицо, благополучатель – юридическое лицо   	2025-03-10 07:47:02.279000+03:00
14233280	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 07:47:07.484000+03:00
14233436	Оператор	Всего доброго. Будем рады помочь с ответами на новые вопросы! 	2025-03-10 08:26:55.483000+03:00
14233489	Оператор	Здравствуйте, Мария Александровна	2025-03-10 08:13:31.065000+03:00
14233489	Оператор	Мария Александровна, да, можно внести изменения. Чтобы внести исправления в годовой отчет, сформируйте в личном кабинете ЕИС обновленную редакцию отчета. Вместе с новой редакцией отчета опубликуйте документ, который содержит перечень изменений. Срок для внесения изменений в годовой отчет не установлен (п. 55, 56 постановления № 908, письмо Минфина от 04.03.2024 № 24-07-08/19288).	2025-03-10 08:15:26.118000+03:00
14233489	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова. Рекомендуем ознакомиться с популярными материалами Системы: 	2025-03-10 09:04:45.114000+03:00
