chat_id	dialogue
14450516	"Пользователь: подскажите резерв под обесценение товаров в налоговом учете отражать на временных разницах или постояннных?
Оператор: Здравствуйте, Лариса Валерьевна
Оператор: Минутку, пожалуйста...
Оператор: Временная разница 
Пользователь: а если данный резерв никогда не отразится на налоговом учете? не понимаю почему временная разница, а не постоянная
Оператор: Резерв может быть и списан. 
Пользователь: в бухучете, но не вналоговом
Пользователь: в налоговом товар будет реализован или списан по фактической стоимости, а в бухгалтерской за счет резерва
Оператор: Минутку, пожалуйста...
Оператор: Это временные, так как возникает разница между балансовой стоимостью активов и налоговой стоимостью, а такая разница всегда признавалась временной, о чем еще в 2008 году разъяснения давал БМЦ 
Оператор: Вы можете оценить мой ответ в конце диалога
Оператор: Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!"
14450647	"Оператор: Сроки ответов экспертной поддержки в период сдачи годовой отчетности
Пользователь: Посмотреть
Оператор: Здравствуйте, Светлана Вячеславовна! У вас сейчас приоритетная поддержка. Постараемся помочь как можно скорее!
Пользователь: Добрый день. К сожалению ответ на вчерашний вопрос так и не поступил
Оператор: "" экспертной поддержки в период сдачи годовой отчетности 
Оператор: Сроки ответа временно увеличены из-за большой загруженности экспертной поддержки в связи с налоговой реформой и отчетным периодом. Приносим извинения за доставленные неудобства, будем стараться в ближайшее время вернуть прежний срок ответов. 
Нет: Пользователь оценил чат
Оператор: Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
Оператор: Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!"
14450706	"Пользователь: здравствуйте! подскажите, пожалуйста, ссылку на нормативную документацию (желательно с изображением) как должна выглядеть упд, отправленная ЭЛЕКТРОННО. где стоит электронно, какие строки должны быть расшифрованы. заранее благодарю за ответ
Оператор: Здравствуйте, Дарья Игоревна
Оператор: Минуту, пожалуйста
Пользователь: None
Пользователь: Вот это прислал контрагент и утверждает, что он прав. хотелось бы доказать и показать ему, как быть должно
Оператор: Дарья Игоревна, к сожалению, образцов электронных вариантов документов в системе нет. Кроме того, в соответствии с правилами работы экспертной поддержки и в целях безопасности системы онлайн-помощник не скачивает и не анализирует документы пользователей. Ответы предоставляются на вопросы пользователей в чате. Есть только такой образец документа Правила заполнения УПД подробно описаны в материале: 
Оператор: Вы можете оценить мой ответ в конце диалога
Оператор: Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!"
14450709	"Пользователь: Если в смете по работам написано как "" Капитальный ремонт"" можно провести данный расход как текущий ремонт, а не капитальный ?
Оператор: Здравствуйте, Людмила 
Пользователь: Т.е. не увеличивать стоимость основных средств?
Оператор: Минуту, пожалуйста
Оператор: Минутку, пожалуйста...
Пользователь: Данные затраты на ремонт основных средств не включать в состав капитальных вложений, а признать текущими расходами периода, в котором они понесены ?
Пользователь: Конкретно шел ремонт части водопроводных сетей
Оператор: Вот ссылка по вашему вопросу. 
Пользователь: Прошу уточнить , что значит с переодичностью больше 12 месяцев.
Пользователь: Уже голова забита ((((прошу прощения за глупый вопрос
Оператор: Минутку, пожалуйста...
Оператор: Вот ссылка по вашему вопросу. 
Оператор: Вы можете оценить мой ответ в конце диалога
Оператор: Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!"
14450737	"Пользователь: Добрый день, У физ. лица в собственности несколько нежилых помещений. Он их использует в предпринимательской деятельности , как ИП на УСН. На сколько объектов недвижимости можно подать заявление на льготу по имущественным налогам? Льгота на один объект или на несколько предоставляется?
Оператор: Здравствуйте, Наталья Анатольевна! У вас сейчас приоритетная поддержка. Постараемся помочь как можно скорее!
Оператор: Минутку, пожалуйста...
Оператор: Ограничений по количеству объектов при предоставлении льготы ИП по налогу на имущество нет. Чтобы не платить налог по недвижимости, которая используется в деятельности на спецрежимах, понадобится заявление о льготе и документы, подтверждающие использование имущества в предпринимательской деятельности. 
Нет: Пользователь оценил чат
Оператор: Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!
Пользователь: не можем найти именно, что нет ограничений по количеству предоставляемых льгот
Оператор: И не найдете, т.к. НК РФ не содержит ограничений по количеству объектов, которые используются в деятельности ИП на УСН.
Пользователь: Понятно, спасибо
Оператор: Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!"
14450756	"Оператор: Сроки ответов экспертной поддержки в период сдачи годовой отчетности
Пользователь: Посмотреть
Оператор: Здравствуйте, Татьяна Александровна
Оператор: "" экспертной поддержки в период сдачи годовой отчетности 
Пользователь: Добрый день.Мне нужен договор сублизинга от ООО на ИП транспортного средства без экипажа, когда все расходы несет лизингодатель
Оператор: Уже ищу ответ. Подождите, пожалуйста.
Оператор: Есть только такой пример, максимально подходящий под Вашу ситуацию Ответ на ваш вопрос есть в версии Системы, которая не входит в вашу подписку. Вот временная ссылка на него — вы можете открыть ее трижды.
Пользователь: где временная ссылка? то,что вы мне предложили вверху, я уже сама видела,меня интересует вопрос:при патенте я могу доходы от перевозки по арендованному в сублизинг авто учесть в ПСН???????
Оператор: Этого вопроса в чате я не вижу. Сейчас уточню 
Пользователь: очень жду
Оператор: Да. Для автомобильных перевозок можно использовать транспорт, которым ИП владеет на праве собственности, пользования, владения и распоряжения (подп. 10, 11 п. 2 ст. 346.43 НК). На каком основании перевозчик должен владеть водным транспортом, в НК не сказано (подп. 32 и 33 п. 2 ст. 346.43 НК). 
Пользователь: причем тут водный транспорт-речь об авто
Оператор: ""Для автомобильных перевозок можно использовать транспорт, которым ИП владеет на праве собственности, пользования, владения и распоряжения (подп. 10, 11 п. 2 ст. 346.43 НК). "" 
Оператор: Я могу вам помочь чем-нибудь еще?
Оператор: Вы можете оценить мой ответ в конце диалога
Оператор: Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!"
14450882	"Пользователь: Здравствуйте! Отправили письменно вопрос, на который должны были сегодня ответить 10.23 Ответ до сих пор не получен. Что случилось?
Оператор: Здравствуйте, Татьяна Ивановна
Оператор: Минуту, пожалуйста
Оператор: Сроки ответа временно увеличены из-за большой загруженности экспертной поддержки в связи с налоговой реформой. Приносим извинения за доставленные неудобства, будем стараться в ближайшее время вернуть прежний срок ответов. 
Оператор: Вы можете оценить мой ответ в конце диалога
Оператор: Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!"
14450988	"Пользователь: Ваш вопрос оформлен под №[4589938]. Ответ на него будет готов в течение 24-х часов Добрый день. Прошло 48 часов, ответ не получили. У нас ИФНС настаивает на полном составе бухгалтерской отчетности, мы же считаем, что у нас есть право за 24 год отчитаться по упрощенной БО. Подскажите в какой время ожидать ответ?
Оператор: Здравствуйте, Юлия Александровна
Оператор: Сейчас уточню.
Оператор: У онлайн-помощника нет информации по срокам подготовки ответов экспертами. Срок индивидуален и зависит от загруженности эксперта, курирующего соответствующую тематику вопросов. Сроки ответа временно увеличены из-за большой загруженности экспертной поддержки в связи с налоговой реформой. Приносим извинения за доставленные неудобства, будем стараться в ближайшее время вернуть прежний срок ответов. 
Оператор: Вы можете оценить мой ответ в конце диалога
Оператор: Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!"
14451024	"Пользователь: Здравствуйте, какова может быть погрешность из-за округления сумм в контрольных соотношениях между отчетом о финансовых результатах и отчетом об изменениях капитала?
Оператор: Здравствуйте, Эльвира Николаевна
Оператор: Минуту, пожалуйста
Оператор: На ваш вопрос понадобится больше времени — мы изучим ситуацию и ответим вам во вкладке чата «Письменно». Сроки ответа могут быть увеличены (более 24 часов) из-за большой загруженности экспертной поддержки в связи с налоговой реформой. Приносим извинения за доставленные неудобства, мы стараемся в ближайшее время вернуть прежний срок ответов. Вы согласны подождать?
Пользователь: Мне нужен был ответ сегодня. Я не думала, что это вопрос, который нужно передавать экспертам(
Оператор: Погрешности законодательством не установлены. Контрольные соотношения, по которым ФНС будет проверять бухгалтерскую отчетность можно посмотреть здесь 
Оператор: Вы можете оценить мой ответ в конце диалога
Пользователь: Я видела эти контрольные соотношения, у меня они не сходятся на 2 тыс руб, поэтому и спрашиваю про погрешность в округлении. Ранее такие погрешности в отчетах были оговорены на законодательном уровне
Оператор: На ваш вопрос понадобится больше времени — мы изучим ситуацию и ответим вам во вкладке чата «Письменно». Сроки ответа могут быть увеличены (более 24 часов) из-за большой загруженности экспертной поддержки в связи с налоговой реформой. Приносим извинения за доставленные неудобства, мы стараемся в ближайшее время вернуть прежний срок ответов. Вы согласны подождать?
Пользователь: Да, согласна.
Оператор: Ваш вопрос оформлен под №[4593919]. Ответ на него будет готов в течение 24-х часов и вы можете посмотреть его на вкладке Письменно. Подробнее ознакомиться с правилами подготовки и получения ответов экспертов, Вы можете на нашем "" "">сайте .
Оператор: Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!"
14451057	"Пользователь: Скажите, когда необходимо произвести оплату, если установленная договором дата является нерабочей?
Оператор: Здравствуйте, Николай Александрович! У вас сейчас приоритетная поддержка. Постараемся помочь как можно скорее!
Оператор: Уже ищу ответ. Подождите, пожалуйста.
Оператор: Уточните, пожалуйста, вашу ситуацию и вопрос. А по какому договору выплата?
Оператор: Не получили от вас уточнений для корректного ответа. Если вопрос по-прежнему актуален, уточните его, пожалуйста, и напишите нам в чат.
Оператор: Вы можете оценить мой ответ в конце диалога
Пользователь: Договор с клиентом. С какого дня считать пени и просрочку? Если день оплаты на выходной попадает?
Оператор: Уже ищу ответ. Подождите, пожалуйста.
Оператор: Пени. Чтобы определить итоговую сумму неустойки в виде пеней, нужно умножить размер неустойки на количество дней просрочки. Просрочку для неустойки следует считать со дня, следующего за днем, когда должник должен был исполнить обязательство. Оканчивается период днем фактического исполнения обязательства. Его нужно включить в период для расчета (п. 65 постановления Пленума Верховного суда от 24.03.2016 № 7). Для расчета воспользуйтесь нашим расчетчиком 
Оператор: Я могу вам помочь чем-нибудь еще?
Пользователь: Вопрос в том с какого дня считать просрочку если днем оплаты выходной?
Пользователь: С первого рабочего или как?
Оператор: Проверьте на расчетчике-калькуляторе. 
Пользователь: Нам нужно понимать как считать не на калькуляторе, а согласно ГК РФ. Чтобы прописать в соглашении график оплат либо с учетом выходных или нет.
Оператор: На ваш вопрос понадобится больше времени — мы изучим ситуацию и ответим вам во вкладке чата «Письменно». Сроки ответа могут быть увеличены (более 24 часов) из-за большой загруженности экспертной поддержки в связи с налоговой реформой. Приносим извинения за доставленные неудобства, мы стараемся в ближайшее время вернуть прежний срок ответов. Вы согласны подождать?
Пользователь: Нашел такое: Согласно ст. 193 Гражданского кодекса РФ, если последний день срока приходится на нерабочий день, днём окончания срока считается ближайший следующий за ним рабочий день.
Оператор: На ваш вопрос понадобится больше времени — мы изучим ситуацию и ответим вам во вкладке чата «Письменно». Сроки ответа могут быть увеличены (более 24 часов) из-за большой загруженности экспертной поддержки в связи с налоговой реформой. Приносим извинения за доставленные неудобства, мы стараемся в ближайшее время вернуть прежний срок ответов. Вы согласны подождать?
Оператор: Без вашего подтверждения мы не смогли передать вопрос экспертам. Если он не решится, сообщите мне об этом, или сразу отправьте его экспертам. Для этого перейдите во вкладку «Письменно» в окне этого чата.
Оператор: Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!
Пользователь: Просьба дать ответ В каком либо формате
Оператор: Ваш вопрос оформлен под №[4594023]. Ответ на него будет готов в течение 24-х часов и вы можете посмотреть его на вкладке Письменно. Подробнее ознакомиться с правилами подготовки и получения ответов экспертов, Вы можете на нашем "" "">сайте .
Оператор: Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!"
